trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
480,False,"{'a': 0.5, 'e': 0.32578130553514806}",20,7,-24.725450429893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
481,False,"{'a': 0.5, 'e': 0.16737055989126504}",20,15,-0.2662706550123817,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.6195442750039529}",20,0,-30.917472906403034,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
483,False,"{'a': 0.5, 'e': 0.9200319442337003}",25,0,-49.92362800877936,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
484,False,"{'a': 0.5, 'e': 0.9952637062792294}",25,0,-54.57855611454343,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
485,False,"{'a': 0.5, 'e': 0.8268202019923669}",25,0,-88.95255821560839,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
486,False,"{'a': 0.5, 'e': 0.4559422758951242}",25,0,-60.426533217056765,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
487,False,"{'a': 0.5, 'e': 0.026566220884026468}",20,14,13.326361119122996,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.5025703802614231}",25,0,-59.72205604916097,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
489,False,"{'a': 0.5, 'e': 0.8555277827960506}",20,0,-88.82086925723634,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
490,False,"{'a': 0.5, 'e': 0.9990221465276736}",20,0,-91.69214775008865,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
491,False,"{'a': 0.5, 'e': 0.8979210466738997}",25,0,-179.37773713772413,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
492,False,"{'a': 0.5, 'e': 0.5769775585030581}",25,7,-151.05409058294134,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 2}",1
493,False,"{'a': 0.5, 'e': 0.11476984121483252}",20,6,25.4728239687497,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.5, 'e': 0.3755375359409301}",20,1,-3.614630621040342,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
495,False,"{'a': 0.5, 'e': 0.7739002269689113}",20,0,-18.337340199695213,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
496,False,"{'a': 0.5, 'e': 0.982785151720906}",30,0,-121.9256753364181,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
497,False,"{'a': 0.5, 'e': 0.9510499955011913}",20,0,-148.06250689175656,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
498,False,"{'a': 0.5, 'e': 0.68646463135462}",25,0,-141.4386347865437,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
499,False,"{'a': 0.5, 'e': 0.253808784161444}",20,14,-30.279058220430286,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
500,False,"{'a': 0.5, 'e': 0.24098830528525864}",20,11,-25.805278131400243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
501,False,"{'a': 0.5, 'e': 0.676783052837157}",20,0,-5.7797213927866515,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
